상태,동/층,전용면적,매매가(만원),플랫폼,매물특징
매매,103동 저층,85,205000,#뱅크 #알터,올수리 상태굿 한강공원앞 염리초학군 역세권 입주협의
매매,103동 4층,85,205000,#뱅크 #알터,"올수리상태좋음,한강인접,마포역역세권,염리초,입주협의."
매매,103동 4층,85,205000,#뱅크 #알터,"추천,올수리,상태좋음,염리초,공원가,마포역 도보5분 초역세권"
매매,101동 1층,85,189000,#뱅크 #알터,"급매,남향상태좋음,한강인접,마포역역세권,입주협의."
매매,101동 1층,85,189000,#뱅크 #알터,추천매물.상태좋음.염리초배정.정남향.한강초근접.마포역세권
매매,102동 5층,60,167000,#뱅크 #알터,"상태보통,한강인접,마포역역세권,입주협의."
매매,101동 3층,60,167000,#뱅크 #알터,"즉시입주가,상태좋음,계단식,한강도보3분,염리초."
매매,103동 14층,85,225000,#뱅크 #알터,"한강조망우수,올수리상태좋음,마포역역세권,입주협의."
매매,101동 4층,85,203000,#뱅크 #알터,"남향,한강인점,마포역역세권,입주협의."
매매,101동 17층,60,185000,#뱅크 #알터,"한강조망우수,특올수리,시스템에어컨2,마포역역세권,입주협의."
매매,101동 중층,85,220000,#뱅크 #알터,"염리초배정, 마포역세권, 한강조망, 4월 입주협의"
매매,101동 중층,85,220000,#뱅크 #알터,"로얄동로얄층,한강조망우수,마포역역세권,입주협의."
매매,미확인동 층,85,205000,#알터,[확인필요: 알터전용] 상태좋음.입주협의.마포역세권.염리초배정.한강 초근접
매매,미확인동 층,85,205000,#알터,"[확인필요: 알터전용] 입주협의,마포역8분,염리초배정"
매매,미확인동 층,85,205000,#알터,[확인필요: 알터전용] 올수리완료.상태좋음.한강변바로앞.마포역도보8분.염리초배정.
매매,103동 4층,85,205000,#뱅크,[확인필요: 뱅크전용] 컨디션깔끔.염리초.마포역.한강공원.
매매,103동 4층,85,205000,#뱅크,[확인필요: 뱅크전용] 올수리 주인거주 계단식 방3 화2 마포역6분 염리초교
매매,미확인동 층,60,167000,#알터,[확인필요: 알터전용] 기본수리됨.마포역세권.염리초배정.한강 초근접.입주협의
매매,미확인동 층,60,167000,#알터,[확인필요: 알터전용] 마포역세권으로 올수리했으며 집보기 수월합니다.
매매,101동 3층,60,167000,#뱅크,[확인필요: 뱅크전용] 올수리 입주협의 계단식 마포역5분 염리초교 학군
매매,미확인동 층,85,225000,#알터,[확인필요: 알터전용] 한강조망 최상 상태 최상 10월초 실입주 가능
매매,미확인동 층,85,203000,#알터,[확인필요: 알터전용] 염리초배정.마포역세권.상태양호. 한강 초근접
매매,미확인동 층,85,203000,#알터,"[확인필요: 알터전용] 입주협의,염리초배정,마포역8분"
매매,101동 4층,85,203000,#뱅크,[확인필요: 뱅크전용] 정남향집 계단식 방3 화2 마포역6분 염리초교
매매,미확인동 층,60,185000,#알터,"[확인필요: 알터전용] 한강조망되는 뷰, 올수리되어 깔끔한 집입니다."
매매,미확인동 층,60,185000,#알터,[확인필요: 알터전용] 한강뷰 굿. 특올수리 시에2. 염리초배정.마포역세권.
매매,미확인동 층,60,185000,#알터,"[확인필요: 알터전용] 입주협의.특올수리,한강조망,마포역8분"
매매,미확인동 층,60,185000,#알터,[확인필요: 알터전용] 특올수리이며 한강전망뷰 입니다.
매매,101동 17층,60,185000,#뱅크,[확인필요: 뱅크전용] 한강뷰 특올수리 계단식 마포역5분 염리초교 학군
매매,미확인동 층,85,190000,#알터,"[확인필요: 알터전용] 마포역세권, 주인거주로 깔끔하며, 층간소음 걱정없이 자녀케어가능"
매매,미확인동 층,85,220000,#알터,"[확인필요: 알터전용] 입주협의,마포역8분,한강공원인접,남향"
매매,101동 17층,60,175000,#뱅크,[확인필요: 뱅크전용] 한강변아파트 상태최상 염리초배정 마포역5분 학원가
매매,103동 1층,85,198000,#뱅크,"[확인필요: 뱅크전용] 상태양호,한강인접,마포역역세권,입주협의."
